id_registro,equipamento,situacao,temperatura_c,vibracao_mm_s,producao_pecas_h
1,Motor 02,manutencao,66.22,3.8,23
2,  Motor 02  ,manutencao,69.33,2.83,13
3,Motor 01,operando,68.63,4.26,186
4, Robô 01,manutencao,61.83,2.09,7
5,Compressor 01  ,Em operação,67.29,2.99,386
6,  Motor 03  ,parado,64.81,3.59,0
7,Bomba 01,operando,62.19,3.75,268
8,Robô 02 ,MANUTENÇÃO,74.48,3.4,3
9,Bomba 02,Desligado,64.36,4.46,0
10,Bomba 01  ,Ligado,66.4,2.81,238
11,Esteira 02,Em manutenção,67.35,3.56,8
12,  Compressor 01  ,Em manutenção,62.55,3.82,6
13,  Esteira 02  ,Manut.,65.91,2.75,20
14,Motor 03  ,manutencao,67.25,4.21,8
15, Robô 01,Manutenção,61.61,4.63,1
16,Esteira 01,MANUTENÇÃO,64.79,3.82,6
17,  Robô 02  ,Parado,68.92,4.24,0
18, Compressor 01,Em operação,74.4,4.37,317
19,  Esteira 02  ,Fora de operação,58.66,3.68,0
20, Bomba 01,OPERANDO,63.95,3.07,192
21, Motor 02,Manutenção,72.67,4.38,19
22,  Motor 02,parado,60.52,2.46,0
23,Esteira 02  ,Em manutenção,76.89,2.57,3
24,Robô 01 ,MANUTENÇÃO,64.85,2.72,13
25,  Motor 03,Operando,80.7,2.52,247
26, Robô 01,Desligado,79.07,2.04,0
27,  Esteira 02  ,Desligado,63.88,2.74,0
28,Motor 03  ,MANUTENÇÃO,80.85,2.05,19
29,  Bomba 01,Operando,72.07,3.71,392
30, Esteira 02,Operando,67.52,4.39,200
31,  Motor 02  ,PARADO,74.79,0.57,0
32, Robô 01,OPERANDO,57.89,1.06,222
33,Esteira 02  ,Em manutenção,52.83,1.5,29
34,  Robô 01  ,manutencao,68.83,3.92,21
35,  Bomba 01,Manut.,63.47,3.04,7
36,Motor 02 ,Operando,62.7,2.72,236
37,Motor 01,manutencao,63.57,2.57,28
38,Motor 01 ,operando,61.37,3.03,304
39,Esteira 01  ,OPERANDO,64.59,1.06,327
40, Compressor 01,MANUTENÇÃO,59.95,3.27,3
41,  Motor 02  ,parado,62.61,3.92,0
42,  Motor 01  ,Manutenção,70.17,3.05,12
43,Bomba 01,Ligado,70.11,4.26,215
44, Bomba 02,Em operação,53.13,3.57,199
45,Compressor 01  ,operando,92.3,4.29,394
46,Motor 01,Manut.,67.12,2.37,13
47,  Compressor 01,Ligado,76.96,1.48,222
48,Bomba 02,parado,65.83,4.84,0
49,Compressor 01 ,parado,63.27,1.57,0
50,  Robô 01  ,manutencao,62.47,3.15,6
51,Motor 01  ,manutencao,55.78,2.66,1
52,Motor 01  ,PARADO,53.3,3.06,0
53,Motor 03,Desligado,70.93,3.41,0
54,Robô 02,Manutenção,71.6,2.32,30
55, Robô 02,Fora de operação,58.94,2.32,0
56,  Bomba 02  ,Fora de operação,61.4,2.75,0
57, Esteira 02,Manutenção,65.91,2.38,12
58,  Motor 03  ,Manutenção,65.11,3.93,24
59,Motor 02,PARADO,60.48,2.21,0
60,Motor 02,Desligado,68.26,3.86,0
61,Bomba 01,Manut.,67.21,3.92,14
62,  Robô 01  ,Em operação,51.21,1.19,347
63,Robô 01,Manutenção,69.42,2.33,21
64, Motor 02,Em operação,69.49,3.42,321
65,Motor 03 ,Em operação,58.2,2.13,232
66,Esteira 02  ,PARADO,66.89,5.29,0
67,Motor 01,Manutenção,62.0,3.47,0
68, Bomba 01,Manutenção,71.12,3.02,14
69,  Robô 01  ,parado,63.84,2.92,0
70,Motor 03  ,Operando,71.69,1.96,217
71, Bomba 02,Operando,61.64,5.1,383
72,Motor 01 ,Ligado,62.7,1.75,270
73,  Robô 01,Fora de operação,66.95,0.82,0
74, Esteira 01,MANUTENÇÃO,72.39,1.18,0
75,  Motor 03  ,Manut.,59.01,5.11,25
76,Esteira 01 ,OPERANDO,67.78,2.63,403
77,  Motor 01,Ligado,71.88,5.23,269
78, Esteira 02,Ligado,71.54,3.2,264
79,Esteira 02,MANUTENÇÃO,65.18,4.51,12
80,Robô 01 ,Operando,80.91,4.86,225
81,Robô 02 ,Operando,72.81,3.77,366
82,  Bomba 01,Fora de operação,70.45,3.05,0
83, Robô 02,Em operação,74.2,3.39,313
84,  Robô 01  ,manutencao,77.64,2.5,6
85,  Bomba 01,operando,81.96,2.39,339
86,  Bomba 01  ,Em manutenção,77.65,4.61,16
87,  Esteira 02  ,parado,62.02,4.47,0
88, Robô 01,Ligado,52.41,4.24,353
89,Motor 03  ,Fora de operação,64.22,4.3,0
90,Motor 01 ,Em operação,70.04,4.8,335
91,  Bomba 01,PARADO,62.46,3.35,0
92,  Compressor 01  ,OPERANDO,63.9,2.41,349
93,Robô 02 ,operando,71.87,1.58,352
94, Esteira 02,MANUTENÇÃO,67.49,3.31,7
95,Compressor 01  ,Em manutenção,67.89,2.0,28
96, Robô 02,manutencao,64.3,2.0,7
97,  Motor 03  ,manutencao,78.66,3.16,24
98,  Motor 02,Ligado,74.91,5.35,312
99,Compressor 01,Desligado,67.07,5.04,0
100, Compressor 01,MANUTENÇÃO,58.6,3.37,17
101,Robô 02 ,MANUTENÇÃO,74.48,2.23,23
102,  Robô 01,Em manutenção,73.34,2.5,5
103,  Compressor 01,Em operação,67.15,1.19,250
104,  Robô 01,Manutenção,67.51,4.17,22
105, Esteira 02,Em operação,59.4,4.91,200
106, Motor 03,Ligado,64.01,3.49,234
107,  Motor 02,parado,63.19,4.08,0
108, Motor 01,Em manutenção,53.69,4.14,18
109,Motor 01  ,parado,50.43,3.44,0
110,  Esteira 02,Em manutenção,77.34,1.9,17
111,Robô 01  ,Manut.,67.91,3.79,13
112,Compressor 01,parado,61.56,4.39,0
113,  Bomba 02  ,OPERANDO,75.46,1.21,339
114,Robô 01,Manut.,59.9,3.9,0
115,  Motor 02  ,parado,72.13,3.94,0
116,Motor 01 ,parado,63.4,4.07,0
117,  Bomba 01,Em operação,67.17,1.21,244
