registro;data;hora;turno;pecas_produzidas
1;03/08/2026;08:00;Manhã;-200
2;03/08/2026;09:00;Manhã;
3;03/08/2026;10:00;Manhã;31
4;03/08/2026;11:00;Manhã;77
5;03/08/2026;12:00;Manhã;47
6;03/08/2026;13:00;Manhã;45
7;03/08/2026;14:00;Tarde;44
8;03/08/2026;15:00;Tarde;38
9;03/08/2026;16:00;Tarde;77
10;03/08/2026;17:00;Tarde;36
11;03/08/2026;18:00;Tarde;73
12;03/08/2026;19:00;Tarde;77
13;03/08/2026;20:00;Tarde;87
14;03/08/2026;21:00;Tarde;64
15;03/08/2026;22:00;Noite;35
16;03/08/2026;23:00;Noite;67
17;04/08/2026;00:00;Noite;57
18;04/08/2026;01:00;Noite;32
19;04/08/2026;02:00;Noite;31
20;04/08/2026;03:00;Noite;35
21;04/08/2026;04:00;Noite;43
22;04/08/2026;05:00;Noite;44
23;04/08/2026;06:00;Manhã;62
24;04/08/2026;07:00;Manhã;68
25;04/08/2026;08:00;Manhã;31
26;04/08/2026;09:00;Manhã;65
27;04/08/2026;10:00;Manhã;42
28;04/08/2026;11:00;Manhã;-500
29;04/08/2026;12:00;Manhã;-200
30;04/08/2026;13:00;Manhã;74
31;04/08/2026;14:00;Tarde;64
32;04/08/2026;15:00;Tarde;56
33;04/08/2026;16:00;Tarde;44
34;04/08/2026;17:00;Tarde;58
35;04/08/2026;18:00;Tarde;67
36;04/08/2026;19:00;Tarde;47
37;04/08/2026;20:00;Tarde;81
38;04/08/2026;21:00;Tarde;85
39;04/08/2026;22:00;Noite;30
40;04/08/2026;23:00;Noite;78
41;05/08/2026;00:00;Noite;-300
42;05/08/2026;01:00;Noite;40
43;05/08/2026;02:00;Noite;74
44;05/08/2026;03:00;Noite;
45;05/08/2026;04:00;Noite;51
46;05/08/2026;05:00;Noite;-50
47;05/08/2026;06:00;Manhã;
48;05/08/2026;07:00;Manhã;43
49;05/08/2026;08:00;Manhã;78
50;05/08/2026;09:00;Manhã;51
51;05/08/2026;10:00;Manhã;36
52;05/08/2026;11:00;Manhã;35
53;05/08/2026;12:00;Manhã;54
54;05/08/2026;13:00;Manhã;36
55;05/08/2026;14:00;Tarde;52
56;05/08/2026;15:00;Tarde;
57;05/08/2026;16:00;Tarde;52
58;05/08/2026;17:00;Tarde;68
59;05/08/2026;18:00;Tarde;46
60;05/08/2026;19:00;Tarde;81
61;05/08/2026;20:00;Tarde;32
62;05/08/2026;21:00;Tarde;76
63;05/08/2026;22:00;Noite;59
64;05/08/2026;23:00;Noite;64
65;06/08/2026;00:00;Noite;37
66;06/08/2026;01:00;Noite;89
67;06/08/2026;02:00;Noite;54
68;06/08/2026;03:00;Noite;-500
69;06/08/2026;04:00;Noite;-500
70;06/08/2026;05:00;Noite;48
71;06/08/2026;06:00;Manhã;83
72;06/08/2026;07:00;Manhã;70
73;06/08/2026;08:00;Manhã;69
74;06/08/2026;09:00;Manhã;86
75;06/08/2026;10:00;Manhã;85
76;06/08/2026;11:00;Manhã;-300
77;06/08/2026;12:00;Manhã;-300
78;06/08/2026;13:00;Manhã;42
79;06/08/2026;14:00;Tarde;75
80;06/08/2026;15:00;Tarde;34
81;06/08/2026;16:00;Tarde;32
82;06/08/2026;17:00;Tarde;72
83;06/08/2026;18:00;Tarde;44
84;06/08/2026;19:00;Tarde;79
85;06/08/2026;20:00;Tarde;48
86;06/08/2026;21:00;Tarde;35
87;06/08/2026;22:00;Noite;84
88;06/08/2026;23:00;Noite;-100
89;07/08/2026;00:00;Noite;85
90;07/08/2026;01:00;Noite;36
91;07/08/2026;02:00;Noite;54
92;07/08/2026;03:00;Noite;47
93;07/08/2026;04:00;Noite;59
94;07/08/2026;05:00;Noite;70
95;07/08/2026;06:00;Manhã;83
96;07/08/2026;07:00;Manhã;53
97;07/08/2026;08:00;Manhã;40
98;07/08/2026;09:00;Manhã;53
99;07/08/2026;10:00;Manhã;52
100;07/08/2026;11:00;Manhã;43
101;07/08/2026;12:00;Manhã;72
102;07/08/2026;13:00;Manhã;47
103;07/08/2026;14:00;Tarde;74
104;07/08/2026;15:00;Tarde;89
105;07/08/2026;16:00;Tarde;73
106;07/08/2026;17:00;Tarde;
107;07/08/2026;18:00;Tarde;34
108;07/08/2026;19:00;Tarde;68
109;07/08/2026;20:00;Tarde;70
110;07/08/2026;21:00;Tarde;40
111;07/08/2026;22:00;Noite;64
112;07/08/2026;23:00;Noite;-50
113;08/08/2026;00:00;Noite;45
114;08/08/2026;01:00;Noite;40
115;08/08/2026;02:00;Noite;59
116;08/08/2026;03:00;Noite;54
117;08/08/2026;04:00;Noite;-300
118;08/08/2026;05:00;Noite;89
119;08/08/2026;06:00;Manhã;70
120;08/08/2026;07:00;Manhã;74
121;08/08/2026;08:00;Manhã;65
